model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-2,,f8,new,8,7892,0.018957003,5.339270228,SAT
nested-2,,f8,new,12,16908,0.307229809,9.215722445,SAT
nested-2,,f8,new,16,29316,1.035541694,11.12378682,SAT
nested-2,,f8,new,20,45116,0.540764282,8.208370029,SAT
nested-2,,f9,new,4,2295,0.033865309,1.77104505,SAT
nested-2,,f9,new,8,7819,0.184123316,4.881811346,SAT
nested-2,,f9,new,12,16607,0.175598396,5.901235008,SAT
nested-2,,f9,new,16,28659,0.258205412,5.22699846,SAT
nested-2,,f9,new,20,43975,0.786743381,11.48278904,SAT
nested-2,,f10,new,4,3425,0.039821361,2.060483936,SAT
nested-2,,f10,new,8,12253,0.219327535,5.017522367,SAT
nested-2,,f10,new,12,26521,0.922500776,6.756510922,SAT
nested-2,,f10,new,16,46229,1.468963277,10.01672424,SAT
nested-2,,f10,new,20,71377,0.669732838,8.498074844,SAT
nested-3,,f1,new,4,5305,0.047648012,3.291701935,SAT
nested-3,,f1,new,8,19265,0.295644911,10.37144609,SAT
nested-3,,f1,new,12,41929,1.181086311,23.59006973,SAT
nested-3,,f1,new,16,73297,1.791110722,24.53054367,SAT
nested-3,,f1,new,20,113369,3.194899512,27.52276961,SAT
nested-3,,f2,new,4,5624,0.010535817,0.313020712,SAT
nested-3,,f2,new,8,20156,0.053450159,1.083726706,SAT
nested-3,,f2,new,12,43648,0.067498195,2.353342095,SAT
nested-3,,f2,new,16,76100,0.1571739,4.160987044,SAT
nested-3,,f2,new,20,117512,0.283961702,6.46983283,SAT
nested-3,,f3,new,4,4601,0.007397672,1.465788609,SAT
nested-3,,f3,new,8,16129,0.152747009,3.873314163,SAT
nested-3,,f3,new,12,34633,0.402996451,8.295040935,SAT
nested-3,,f3,new,16,60113,1.053793447,25.08930235,SAT
nested-3,,f3,new,20,92569,0.71660063,21.83917345,SAT
nested-3,,f4,new,4,4311,0.007722005,0.242418916,SAT
nested-3,,f4,new,8,15359,0.021158834,0.823280771,SAT
nested-3,,f4,new,12,33191,0.066945906,1.769082421,SAT
nested-3,,f4,new,16,57807,0.116005966,3.099018628,SAT
nested-3,,f4,new,20,89207,0.170455689,4.732448535,SAT
nested-3,,f5,new,4,4238,0.007482999,0.567490237,SAT
nested-3,,f5,new,8,15086,0.091433357,4.525667765,SAT
nested-3,,f5,new,12,32590,0.282204392,7.813368813,SAT
nested-3,,f5,new,16,56750,0.590967262,15.88704261,SAT
nested-3,,f5,new,20,87566,1.742067303,26.24091395,SAT
nested-3,,f6,new,4,5314,0.010758313,0.299940122,SAT
nested-3,,f6,new,8,19282,0.054430961,1.047705187,SAT
nested-3,,f6,new,12,41954,0.073901179,2.30946523,SAT
nested-3,,f6,new,16,73330,0.168687794,4.090375747,SAT
nested-3,,f6,new,20,113410,0.313362705,6.723458605,SAT
nested-3,,f7,new,4,6096,0.011370867,0.333981342,SAT
nested-3,,f7,new,8,21848,0.054585063,1.15212233,SAT
nested-3,,f7,new,12,47328,0.073891865,2.485097458,SAT
nested-3,,f7,new,16,82536,0.205111987,4.33487071,SAT
nested-3,,f7,new,20,127472,0.340065475,6.711872511,SAT
nested-3,,f8,new,4,4304,0.087681628,2.431687657,SAT
nested-3,,f8,new,8,15344,0.205038105,9.175226734,SAT
nested-3,,f8,new,12,33168,0.908320455,21.54135544,SAT
nested-3,,f8,new,16,57776,1.203054607,24.67184651,SAT
nested-3,,f8,new,20,89168,1.795755497,27.13788077,SAT
nested-3,,f9,new,4,5461,0.010072557,1.318105266,SAT
nested-3,,f9,new,8,19705,0.131508727,4.125597754,SAT
nested-3,,f9,new,12,42781,1.092869052,16.43576458,SAT
nested-3,,f9,new,16,74689,0.706960968,13.39375802,SAT
nested-3,,f9,new,20,115429,2.346532355,18.60414943,SAT
nested-3,,f10,new,4,5402,0.034035152,1.622286182,SAT
nested-3,,f10,new,8,19458,0.31631694,5.739814252,SAT
nested-3,,f10,new,12,42218,1.149210685,19.63638114,SAT
nested-3,,f10,new,16,73682,1.077084521,15.29704944,SAT
nested-3,,f10,new,20,113850,1.319315216,17.12406539,SAT
nested-1,,f1,old,4,13848,0.003426136,9.992527315,SAT
nested-1,,f1,old,8,67440,0.00833718,26.57744137,SAT
nested-1,,f1,old,12,188744,0.015759572,32.0925468,SAT
nested-1,,f1,old,16,405408,0.061885459,68.14258386,SAT
nested-1,,f1,old,20,745080,0.522738053,155.868095,SAT
nested-1,,f2,old,4,13865,0.003104337,5.541395092,SAT
nested-1,,f2,old,8,67473,0.007653863,11.48665428,SAT
nested-1,,f2,old,12,188793,0.038457355,32.74811949,SAT
nested-1,,f2,old,16,405473,0.071689628,57.49200246,SAT
nested-1,,f2,old,20,745161,0.445378984,125.6542462,SAT
nested-1,,f3,old,4,13848,0.003498555,2.400837642,SAT
nested-1,,f3,old,8,67440,0.032548379,26.92970312,SAT
nested-1,,f3,old,12,188744,0.027850694,32.49598507,SAT
nested-1,,f3,old,16,405408,0.880750162,117.2646121,SAT
nested-1,,f3,old,20,745080,0.961457648,130.1387365,SAT
nested-1,,f4,old,4,13856,0.003780169,9.903076849,SAT
nested-1,,f4,old,8,67456,0.096421264,46.89167194,SAT
nested-1,,f4,old,12,188768,0.16034798,74.70913698,SAT
nested-1,,f4,old,16,405440,0.854609737,140.1718458,SAT
nested-1,,f4,old,20,745120,0.517429679,166.4023965,SAT
nested-1,,f5,old,4,13865,0.003551596,5.676636525,SAT
nested-1,,f5,old,8,67473,0.176012748,46.82620919,SAT
nested-1,,f5,old,12,188793,0.087900539,73.35910578,SAT
nested-1,,f5,old,16,405473,0.436768967,134.5408872,SAT
nested-1,,f5,old,20,745161,0.494975222,168.3132549,SAT
nested-1,,f6,old,4,13857,0.019601424,9.799268693,SAT
nested-1,,f6,old,8,67457,0.048031383,26.98026437,SAT
nested-1,,f6,old,12,188769,0.100407868,75.70919193,SAT
nested-1,,f6,old,16,405441,0.786331229,139.3021186,SAT
nested-1,,f6,old,20,745121,0.509552237,160.2291224,SAT
nested-1,,f7,old,4,14321,0.003677562,5.735883207,SAT
nested-1,,f7,old,8,68953,0.045388774,27.4529526,SAT
nested-1,,f7,old,12,191873,0.283942636,71.08945199,SAT
nested-1,,f7,old,16,410729,0.371339097,118.9534731,SAT
nested-1,,f7,old,20,753169,0.216526533,92.70180355,SAT
nested-1,,f8,old,4,14330,0.02401468,9.855992355,SAT
nested-1,,f8,old,8,68970,0.094020413,44.67369701,SAT
nested-1,,f8,old,12,191898,0.652293121,73.4187377,SAT
nested-1,,f8,old,16,410762,0.725099189,132.0834483,SAT
nested-1,,f8,old,20,753210,0.915923981,149.7623132,SAT
nested-1,,f9,old,4,14334,0.032261027,10.13655964,SAT
nested-1,,f9,old,8,68978,0.01021242,27.49444206,SAT
nested-1,,f9,old,12,191910,0.095052389,32.27882045,SAT
nested-1,,f9,old,16,410778,0.155420993,61.5212796,SAT
nested-1,,f9,old,20,753230,0.50389367,162.4293297,SAT
nested-1,,f10,old,4,14330,0.02401468,9.855992355,SAT
nested-1,,f10,old,8,68970,0.094020413,44.67369701,SAT
nested-1,,f10,old,12,191898,0.652293121,73.4187377,SAT
nested-1,,f10,old,16,410762,0.725099189,132.0834483,SAT
nested-1,,f10,old,20,753210,0.915923981,149.7623132,SAT
nested-2,,f1,old,4,422057,0.347868132,119.7788314,SAT
nested-2,,f1,old,8,1983073,0.742025335,457.4788502,SAT
nested-2,,f1,old,12,5471129,1.73136332,1723.914591,SAT
nested-2,,f1,old,16,11660369,3.357746939,3135.134964,SAT
nested-2,,f1,old,20,21324937,,timeout,SAT
nested-2,,f2,old,4,426639,0.342425682,246.7593685,SAT
nested-2,,f2,old,8,1998923,2.019005131,1103.231281,SAT
nested-2,,f2,old,12,5504967,,timeout,SAT
nested-2,,f2,old,16,11718915,,timeout,SAT
nested-2,,f2,old,20,21414911,,timeout,SAT
nested-2,,f3,old,4,426607,0.745513082,244.386631,SAT
nested-2,,f3,old,8,1998867,2.121113362,1198.426333,SAT
nested-2,,f3,old,12,5504887,,timeout,SAT
nested-2,,f3,old,16,11718811,,timeout,SAT
nested-2,,f3,old,20,21414783,,timeout,SAT
nested-2,,f4,old,4,422573,0.33089739,121.3733756,SAT
nested-2,,f4,old,8,1983973,1.922551423,1171.889512,SAT
nested-2,,f4,old,12,5472413,,timeout,SAT
nested-2,,f4,old,16,21326989,,timeout,SAT
nested-2,,f4,old,20,11662037,,timeout,SAT
nested-2,,f5,old,4,204374,0.212261742,94.85471585,SAT
nested-2,,f5,old,8,819926,1.128859689,525.8436788,SAT
nested-2,,f5,old,12,2109398,0.957359442,483.6811573,SAT
nested-2,,f5,old,16,4321622,,timeout,SAT
nested-2,,f5,old,20,7705430,,timeout,SAT
nested-2,,f6,old,4,204275,0.030314348,60.34650187,SAT
nested-2,,f6,old,8,819763,0.380819949,211.1271198,SAT
nested-2,,f6,old,12,2109171,1.027760311,606.0050751,SAT
nested-2,,f6,old,16,4321331,,timeout,SAT
nested-2,,f6,old,20,7705075,,timeout,SAT
nested-2,,f7,old,4,208216,0.121138979,59.60554719,SAT
nested-2,,f7,old,8,832996,0.520521916,244.6082674,SAT
nested-2,,f7,old,12,2137072,1.126280285,616.5004629,SAT
nested-2,,f7,old,16,4369276,1.708813114,1097.43564,SAT
nested-2,,f7,old,20,7778440,3.119329771,1700.07938,SAT
nested-2,,f8,old,4,204493,0.086292673,60.00898371,SAT
nested-2,,f8,old,8,820445,0.382791122,187.1225946,SAT
nested-2,,f8,old,12,2110573,0.996078026,686.6216058,SAT
nested-2,,f8,old,16,4323709,1.728473482,1198.812398,SAT
nested-2,,f8,old,20,7708685,,timeout,SAT
nested-2,,f9,old,4,422236,0.675270909,243.9555418,SAT
nested-2,,f9,old,8,1982936,1.874139182,1167.668696,SAT
nested-2,,f9,old,12,5470292,1.674923009,1390.336571,SAT
nested-2,,f9,old,16,11658448,,timeout,SAT
nested-2,,f9,old,20,21321548,,timeout,SAT
nested-2,,f10,old,4,427074,0.579818416,248.5536156,SAT
nested-2,,f10,old,8,1999682,1.941487731,1025.534924,SAT
nested-2,,f10,old,12,5506050,2.314871635,1110.743155,SAT
nested-2,,f10,old,16,11720322,,timeout,SAT
nested-2,,f10,old,20,21416642,,timeout,SAT
nested-3,,f1,old,4,4342602,,timeout,SAT
nested-3,,f1,old,8,19077590,,timeout,SAT
