model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
water,polynomial,f1,new,4,55340,0.004714437,5.493544174,counterexample found
water,polynomial,f1,new,6,77788,0.007228088,21.67363319,counterexample found
water,polynomial,f1,new,8,100316,0.009520693,7.181943687,counterexample found
water,polynomial,f2,new,2,32766,0.002688552,1.829883725,no counterexample
water,polynomial,f2,new,4,54855,0.003895612,3.077143728,no counterexample
water,polynomial,f2,new,6,76943,0.005005986,4.534058989,no counterexample
water,polynomial,f2,new,8,99031,0.006731665,10.71914136,no counterexample
water,polynomial,f2,new,10,121119,0.008540224,21.79259742,no counterexample
water,polynomial,f2,new,12,143207,0.009985086,23.31536027,no counterexample
water,polynomial,f2,new,14,165295,0.059598604,24.88571766,no counterexample
water,polynomial,f2,new,16,187383,0.013799435,27.35130509,no counterexample
water,polynomial,f2,new,18,209471,0.01559913,27.20394272,no counterexample
water,polynomial,f2,new,20,231559,0.016924699,28.88649594,no counterexample
water,polynomial,f3,new,2,20239,0.004583895,2.317319009,counterexample found
water,polynomial,f3,new,4,35011,0.008920147,6.859782189,counterexample found
water,polynomial,f4,new,2,33622,0.005645685,1.88335664,no counterexample
water,polynomial,f4,new,4,57896,0.008955333,3.255350201,no counterexample
water,polynomial,f4,new,6,83514,0.01708507,4.735352027,no counterexample
water,polynomial,f4,new,8,110476,0.028029211,6.257026685,no counterexample
water,polynomial,f4,new,10,138782,0.067407484,13.07344692,no counterexample
water,polynomial,f4,new,12,168432,0.062695096,23.8376695,no counterexample
water,polynomial,f4,new,14,199426,0.080685024,17.21614951,no counterexample
water,polynomial,f4,new,16,231764,0.154996526,28.0737989,no counterexample
water,polynomial,f4,new,18,265446,0.18092976,17.19866387,no counterexample
water,polynomial,f4,new,20,300472,0.234874535,31.42159187,no counterexample
thermo,polynomial,f1,new,2,17272,0.002631731,1.031553413,no counterexample
thermo,polynomial,f1,new,4,29201,0.003574695,1.720575436,no counterexample
thermo,polynomial,f1,new,6,41129,0.005015789,2.427537633,no counterexample
thermo,polynomial,f1,new,8,53057,0.006923678,3.129819174,no counterexample
thermo,polynomial,f1,new,10,64985,0.008408674,3.84359086,no counterexample
thermo,polynomial,f1,new,12,76913,0.009306337,4.551314201,no counterexample
