model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
water,linear,f1,new,10,8842,0.00704284,0.103565366,counterexample found
water,linear,f1,new,15,13517,0.010633067,0.156403913,counterexample found
water,linear,f1,new,20,18492,0.014750593,0.221870788,counterexample found
water,linear,f1,new,25,23767,0.020309858,0.282503825,counterexample found
water,linear,f1,new,30,29342,0.025592167,0.393779213,counterexample found
water,linear,f1,new,35,35217,0.031661207,0.422740781,counterexample found
water,linear,f1,new,40,41392,0.038662162,0.486217586,counterexample found
water,linear,f1,new,45,47867,0.04663452,0.963503855,counterexample found
water,linear,f1,new,50,54642,0.092669806,0.966994878,counterexample found
water,linear,f2,new,5,3957,0.002570509,0.05399543,no counterexample
water,linear,f2,new,10,7527,0.003714674,0.095781193,no counterexample
water,linear,f2,new,15,11097,0.005460432,0.141602603,no counterexample
water,linear,f2,new,20,14667,0.007817332,0.198996956,no counterexample
water,linear,f2,new,25,18237,0.009658274,0.249177638,no counterexample
water,linear,f2,new,30,21807,0.011618995,0.285034209,no counterexample
water,linear,f2,new,35,25377,0.013640367,0.401979452,no counterexample
water,linear,f2,new,40,28947,0.015723447,0.372950576,no counterexample
water,linear,f2,new,45,32517,0.018536841,0.443535929,no counterexample
water,linear,f2,new,50,36087,0.020740665,0.492191609,no counterexample
water,linear,f3,new,5,5799,0.04194967,0.07443691,counterexample found
water,linear,f3,new,10,14559,0.021554562,0.152091033,counterexample found
water,linear,f3,new,15,26669,0.048920487,0.258761714,counterexample found
water,linear,f3,new,20,42129,0.128110657,0.396489606,counterexample found
water,linear,f3,new,25,60939,0.191833504,0.56452535,counterexample found
water,linear,f3,new,30,83099,0.332056078,0.74598291,counterexample found
water,linear,f3,new,35,108609,0.462238226,0.96403475,counterexample found
water,linear,f3,new,40,137469,0.743305345,1.22431563,counterexample found
water,linear,f3,new,45,169679,0.868407364,1.491310852,counterexample found
water,linear,f3,new,50,205239,1.289577908,1.868574729,counterexample found
water,linear,f4,new,5,7175,0.015066983,0.092853175,no counterexample
water,linear,f4,new,10,20260,0.041009878,0.185084336,no counterexample
water,linear,f4,new,15,39645,0.096497543,0.333560186,no counterexample
water,linear,f4,new,20,65330,0.268674935,0.557412238,no counterexample
water,linear,f4,new,25,97315,0.457070105,0.787557784,no counterexample
water,linear,f4,new,30,135600,0.659590614,1.050349216,no counterexample
water,linear,f4,new,35,180185,1.084098527,1.383875921,no counterexample
water,linear,f4,new,40,231070,1.553600363,1.756434789,no counterexample
water,linear,f4,new,45,288255,2.134053755,2.2220121,no counterexample
water,linear,f4,new,50,351740,2.373810387,2.647673532,no counterexample
thermo,linear,f1,new,5,3977,0.003203519,0.051760756,counterexample found
thermo,linear,f1,new,10,7567,0.003641515,0.091427095,counterexample found
thermo,linear,f1,new,15,11157,0.00544499,0.13253587,counterexample found
thermo,linear,f1,new,20,14747,0.007965147,0.175160198,counterexample found
thermo,linear,f1,new,25,18337,0.009665703,0.22216357,counterexample found
thermo,linear,f1,new,30,21927,0.011648494,0.266732353,counterexample found
thermo,linear,f1,new,35,25517,0.013592047,0.343344392,counterexample found
thermo,linear,f1,new,40,29107,0.016315923,0.343931338,counterexample found
thermo,linear,f1,new,45,32697,0.01792167,0.444838555,counterexample found
thermo,linear,f1,new,50,36287,0.020372678,0.505028419,counterexample found
thermo,linear,f2,new,5,4005,0.00269838,0.051415464,no counterexample
thermo,linear,f2,new,10,7615,0.003715541,0.099661323,no counterexample
thermo,linear,f2,new,15,11225,0.005411694,0.147591165,no counterexample
thermo,linear,f2,new,20,14835,0.007153879,0.191910818,no counterexample
thermo,linear,f2,new,25,18445,0.009691788,0.255264614,no counterexample
thermo,linear,f2,new,30,22055,0.011681545,0.305583896,no counterexample
thermo,linear,f2,new,35,25665,0.013705133,0.407859445,no counterexample
thermo,linear,f2,new,40,29275,0.015751207,0.444267302,no counterexample
thermo,linear,f2,new,45,32885,0.018096912,0.567594786,no counterexample
thermo,linear,f2,new,50,36495,0.02016976,0.58110672,no counterexample
thermo,linear,f3,new,5,7339,0.012074419,0.075939964,counterexample found
thermo,linear,f3,new,10,20479,0.070003099,0.201976446,counterexample found
thermo,linear,f3,new,15,39819,0.085262981,0.342311593,counterexample found
thermo,linear,f3,new,20,65359,0.203393653,0.556351352,counterexample found
thermo,linear,f3,new,25,97099,0.377373205,0.952967608,counterexample found
thermo,linear,f3,new,30,135039,0.588000447,1.454033802,counterexample found
thermo,linear,f3,new,35,179179,0.998586581,1.719433835,counterexample found
thermo,linear,f3,new,40,229519,1.127150937,2.956036657,counterexample found
thermo,linear,f3,new,45,286059,1.805762975,3.183484373,counterexample found
thermo,linear,f3,new,50,348799,1.889186553,7.330227161,counterexample found
thermo,linear,f4,new,5,7099,0.046585305,0.077807318,no counterexample
thermo,linear,f4,new,10,20004,0.041139371,0.186624872,no counterexample
thermo,linear,f4,new,15,39109,0.097098395,0.349990313,no counterexample
thermo,linear,f4,new,20,64414,0.240042393,0.586541502,no counterexample
thermo,linear,f4,new,25,95919,0.444984597,0.931850028,no counterexample
thermo,linear,f4,new,30,133624,0.799785821,1.148834419,no counterexample
thermo,linear,f4,new,35,177529,1.002588811,2.055045572,no counterexample
thermo,linear,f4,new,40,227634,1.525551664,2.491211641,no counterexample
thermo,linear,f4,new,45,283939,2.056156037,2.872110453,no counterexample
thermo,linear,f4,new,50,346444,2.655344675,4.520352851,no counterexample
battery,linear,f1,new,5,8160,0.006296081,0.111083351,counterexample found
battery,linear,f1,new,10,15680,0.006581882,0.193225429,counterexample found
battery,linear,f1,new,15,23200,0.010417563,0.27783086,counterexample found
battery,linear,f1,new,20,30720,0.013429393,0.718368125,counterexample found
battery,linear,f1,new,25,38240,0.016494181,1.186628114,counterexample found
battery,linear,f1,new,30,45760,0.077520509,2.294823229,counterexample found
battery,linear,f1,new,35,53280,0.085180936,2.106412438,counterexample found
battery,linear,f1,new,40,60800,0.02686438,6.571288215,counterexample found
battery,linear,f1,new,45,68320,0.030767319,7.807335435,counterexample found
battery,linear,f1,new,50,75840,0.034692839,6.769697911,counterexample found
battery,linear,f2,new,5,9796,0.022934598,0.152480323,no counterexample
battery,linear,f2,new,10,18641,0.008730572,0.280559128,no counterexample
battery,linear,f2,new,15,27486,0.014152954,0.408439553,no counterexample
battery,linear,f2,new,20,36331,0.018497509,0.534905173,no counterexample
battery,linear,f2,new,25,45176,0.023051114,0.688760048,no counterexample
battery,linear,f2,new,30,54021,0.027790887,0.7903197,no counterexample
battery,linear,f2,new,35,62866,0.033591059,0.915463852,no counterexample
battery,linear,f2,new,40,71711,0.108340838,1.046649528,no counterexample
battery,linear,f2,new,45,80556,0.044025384,1.176879236,no counterexample
battery,linear,f2,new,50,89401,0.128563501,1.292750777,no counterexample
battery,linear,f3,new,5,12260,0.014316719,0.16040937,counterexample found
battery,linear,f3,new,10,29700,0.044067577,0.32392766,counterexample found
battery,linear,f3,new,15,53140,0.099810527,0.972876468,counterexample found
battery,linear,f3,new,20,82580,0.270768221,7.111506302,counterexample found
battery,linear,f3,new,25,118020,0.538711313,14.29164347,counterexample found
battery,linear,f3,new,30,159460,0.759416262,1621.609756,counterexample found
battery,linear,f3,new,35,206900,1.057062402,1396.459524,counterexample found
battery,linear,f3,new,40,260340,1.714761991,5423.547308,counterexample found
battery,linear,f3,new,45,319780,2.286029859,323.6686412,counterexample found
battery,linear,f3,new,50,385220,2.908598703,761.9232231,counterexample found
battery,linear,f4,new,5,11032,0.009941947,0.158866422,no counterexample
battery,linear,f4,new,10,24437,0.076917509,2.196106946,no counterexample
battery,linear,f4,new,15,41042,0.052092522,5.866127505,no counterexample
battery,linear,f4,new,20,60847,0.141890152,32.77190607,no counterexample
battery,linear,f4,new,25,83852,0.213397276,77.51479446,no counterexample
battery,linear,f4,new,30,110057,0.38222179,225.6088036,no counterexample
battery,linear,f4,new,35,139462,0.512312595,428.256589,no counterexample
battery,linear,f4,new,40,172067,0.773050696,1206.188707,no counterexample
battery,linear,f4,new,45,207872,1.035987881,5536.558265,no counterexample
battery,linear,f4,new,50,246877,1.571127937,6844.349607,no counterexample
railroad,linear,f1,old,5,7243,0.023110076,0.256539594,counterexample found
railroad,linear,f1,old,10,20143,0.019065672,0.549558105,counterexample found
railroad,linear,f1,old,15,39093,0.035521602,2.244120238,counterexample found
railroad,linear,f1,old,20,64093,0.441593602,6.616314268,counterexample found
railroad,linear,f1,old,25,95143,0.344141797,16.68733715,counterexample found
railroad,linear,f1,old,30,132243,0.443755778,28.53700192,counterexample found
railroad,linear,f1,old,35,175393,0.56556284,52.86024063,counterexample found
railroad,linear,f1,old,40,224593,0.429014212,98.96543728,counterexample found
railroad,linear,f1,old,45,279843,0.607371672,125.9554523,counterexample found
railroad,linear,f1,old,50,341143,1.528322835,273.7155139,counterexample found
railroad,linear,f2,old,5,5770,0.005925411,0.25257929,no counterexample
railroad,linear,f2,old,10,14900,0.063430608,1.063368107,no counterexample
railroad,linear,f2,old,15,27780,0.027742614,3.558765075,no counterexample
railroad,linear,f2,old,20,44410,0.136648718,10.95454297,no counterexample
railroad,linear,f2,old,25,64790,0.136571192,20.27679642,no counterexample
railroad,linear,f2,old,35,116800,0.572363012,42.88822517,no counterexample
railroad,linear,f2,old,30,88920,0.330692082,43.66262688,no counterexample
railroad,linear,f2,old,40,148430,0.607790032,116.8582515,no counterexample
railroad,linear,f2,old,45,183810,0.944529952,162.6649077,no counterexample
railroad,linear,f2,old,50,222940,1.153296909,245.5617559,no counterexample
railroad,linear,f3,old,5,23060,0.060899825,2.056362496,counterexample found
railroad,linear,f3,old,10,64385,0.310132535,6.409459227,counterexample found
railroad,linear,f3,old,15,126060,0.291721621,30.7710134,counterexample found
railroad,linear,f3,old,20,208085,1.358928831,71.66298509,counterexample found
railroad,linear,f3,old,25,310460,2.451420337,472.0883214,counterexample found
railroad,linear,f3,old,30,433185,3.214517747,393.2149054,counterexample found
railroad,linear,f3,old,35,576260,4.186617406,675.4124216,counterexample found
railroad,linear,f3,old,40,739685,5.930541117,2433.91055,counterexample found
railroad,linear,f3,old,45,923460,6.573226792,1467.455593,counterexample found
railroad,linear,f3,old,50,1127585,8.144899656,3540.651584,counterexample found
railroad,linear,f4,old,5,37332,0.076176583,5.667568398,counterexample found
railroad,linear,f4,old,10,112132,0.285368674,53.97653477,counterexample found
railroad,linear,f4,old,15,226682,0.897265023,256.2455136,counterexample found
railroad,linear,f4,old,20,380982,2.500567774,433.5327122,counterexample found
railroad,linear,f4,old,25,575032,3.360895842,2207.306517,counterexample found
railroad,linear,f4,old,30,808832,5.484417466,3715.281853,counterexample found
car,linear,f1,old,5,9913,0.006739534,0.159667177,counterexample found
car,linear,f1,old,10,23033,0.015574089,0.642736936,counterexample found
car,linear,f1,old,15,39903,0.043636988,4.701252134,counterexample found
car,linear,f1,old,20,60523,0.22876243,15.023452,counterexample found
car,linear,f1,old,25,84893,0.132946486,18.32597308,counterexample found
car,linear,f1,old,30,113013,0.50361592,37.04759125,counterexample found
car,linear,f1,old,35,144883,0.258807953,62.73813516,counterexample found
car,linear,f1,old,40,180503,0.829389642,108.9348225,counterexample found
car,linear,f1,old,45,219873,0.87811164,180.9808213,counterexample found
car,linear,f1,old,50,262993,1.251924153,245.427691,counterexample found
car,linear,f2,old,5,9930,0.030782511,0.355587245,no counterexample
car,linear,f2,old,10,23055,0.015389725,1.199531088,no counterexample
car,linear,f2,old,15,39930,0.059423479,3.95642259,no counterexample
car,linear,f2,old,20,60555,0.241092921,18.89717533,no counterexample
car,linear,f2,old,25,84930,0.263241651,1158.481416,no counterexample
car,linear,f2,old,30,113055,0.481685412,951.3588823,no counterexample
car,linear,f2,old,35,144930,0.250876582,1749.912886,no counterexample
car,linear,f2,old,40,180555,0.388672499,1437.007538,no counterexample
car,linear,f2,old,45,219930,0.830699669,1393.796792,no counterexample
