model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
water,linear,f1,new,10,18446,0.007840514,1.657618732,counterexample found
water,linear,f1,new,15,27786,0.011616191,1.819968436,counterexample found
water,linear,f1,new,20,37626,0.032079823,4.467648897,counterexample found
water,linear,f1,new,25,47966,0.037214421,5.356413709,counterexample found
water,linear,f1,new,30,58806,0.059031207,6.909809725,counterexample found
water,linear,f1,new,35,70146,0.105530198,8.855775405,counterexample found
water,linear,f1,new,40,81986,0.112142154,22.60875154,counterexample found
water,linear,f1,new,45,94326,0.144171566,26.14346882,counterexample found
water,linear,f1,new,50,107166,0.104733215,49.89193912,counterexample found
water,linear,f2,new,5,8951,0.002538262,0.551381591,no counterexample
water,linear,f2,new,10,16641,0.003694907,1.004143752,no counterexample
water,linear,f2,new,15,24331,0.005953459,1.464686313,no counterexample
water,linear,f2,new,20,32021,0.007083615,1.924452989,no counterexample
water,linear,f2,new,25,39711,0.009570139,2.399438055,no counterexample
water,linear,f2,new,30,47401,0.011268447,2.878165767,no counterexample
water,linear,f2,new,35,55091,0.013292514,3.351990713,no counterexample
water,linear,f2,new,40,62781,0.015987291,3.885235032,no counterexample
water,linear,f2,new,45,70471,0.017504594,4.366101542,no counterexample
water,linear,f2,new,50,78161,0.020036049,4.854039873,no counterexample
water,linear,f3,new,5,11639,0.023643537,1.465513634,counterexample found
water,linear,f3,new,10,27369,0.023314678,2.471134368,counterexample found
water,linear,f3,new,15,48399,0.04960015,4.683829734,counterexample found
water,linear,f3,new,20,74729,0.154744969,19.84824994,counterexample found
water,linear,f3,new,25,106359,0.942019056,37.9040958,counterexample found
water,linear,f3,new,30,143289,0.599622405,38.92818662,counterexample found
water,linear,f3,new,35,185519,0.913967965,63.07483325,counterexample found
water,linear,f3,new,40,233049,1.984497241,142.8384853,counterexample found
water,linear,f3,new,45,285879,2.20760606,184.2367257,counterexample found
water,linear,f3,new,50,344009,2.362663959,380.6445323,counterexample found
water,linear,f4,new,5,13589,0.012289098,1.138101059,no counterexample
water,linear,f4,new,10,34304,0.091124881,4.084720535,no counterexample
water,linear,f4,new,15,63419,0.167749743,5.12331966,no counterexample
water,linear,f4,new,20,100934,0.51078783,11.9774444,no counterexample
water,linear,f4,new,25,146849,1.388493297,12.20015923,no counterexample
water,linear,f4,new,30,201164,2.08507156,17.53353993,no counterexample
water,linear,f4,new,35,263879,2.511840534,21.24637484,no counterexample
water,linear,f4,new,40,334994,1.519060499,19.9458446,no counterexample
water,linear,f4,new,45,414509,3.778859437,27.04635313,no counterexample
water,linear,f4,new,50,502424,4.305273737,29.69442092,no counterexample
thermo,linear,f1,new,5,8947,0.00260766,0.724976442,counterexample found
thermo,linear,f1,new,10,16757,0.004253333,1.368119199,counterexample found
thermo,linear,f1,new,15,24567,0.030509554,2.808939861,counterexample found
thermo,linear,f1,new,20,32377,0.007832222,2.663917577,counterexample found
thermo,linear,f1,new,25,40187,0.026309274,3.246389532,counterexample found
thermo,linear,f1,new,30,47997,0.036271935,4.097431737,counterexample found
thermo,linear,f1,new,35,55807,0.014712678,3.793235064,counterexample found
thermo,linear,f1,new,40,63617,0.032606029,6.126588717,counterexample found
thermo,linear,f1,new,45,71427,0.051290791,5.896334189,counterexample found
thermo,linear,f1,new,50,79237,0.037629323,6.571374362,counterexample found
