model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
water,polynomial,f2,new,12,16835,0.010047627,5.119340973,no counterexample
water,polynomial,f2,new,14,19479,0.012219639,2.315989723,no counterexample
water,polynomial,f3,new,2,3159,0.004378946,0.709496828,counterexample found
water,polynomial,f3,new,4,6177,0.008429945,0.488792192,counterexample found
water,polynomial,f3,new,6,9731,0.013256966,1.089324568,counterexample found
water,polynomial,f3,new,8,13821,0.019987543,2.814761654,counterexample found
water,polynomial,f3,new,10,18447,0.124007789,25.37996118,counterexample found
water,polynomial,f4,new,2,4148,0.005219154,0.212572442,no counterexample
water,polynomial,f4,new,4,8330,0.035178979,1.078479216,no counterexample
water,polynomial,f4,new,6,13520,0.067987415,1.542142962,no counterexample
water,polynomial,f4,new,8,19718,0.103869582,1.841119746,no counterexample
water,polynomial,f4,new,10,26924,0.142868835,1.892978343,no counterexample
water,polynomial,f4,new,12,35138,0.186780323,1.954006463,no counterexample
water,polynomial,f4,new,14,44360,0.186167416,2.131958948,no counterexample
water,polynomial,f4,new,16,54590,0.374894326,2.164687879,no counterexample
water,polynomial,f4,new,18,65828,0.216765318,1.609047439,no counterexample
water,polynomial,f4,new,20,78074,0.778296012,2.267730389,no counterexample
thermo,polynomial,f1,new,2,2943,0.002890375,0.118210215,no counterexample
thermo,polynomial,f1,new,4,5259,0.00385211,0.188182917,no counterexample
thermo,polynomial,f1,new,6,7575,0.005362611,0.26021417,no counterexample
thermo,polynomial,f1,new,8,9891,0.007658827,0.335902961,no counterexample
thermo,polynomial,f1,new,10,12207,0.009133061,0.409086199,no counterexample
thermo,polynomial,f1,new,12,14523,0.0107353,0.485869396,no counterexample
thermo,polynomial,f1,new,14,16839,0.012233919,0.563547611,no counterexample
thermo,polynomial,f1,new,16,19155,0.013820601,0.635617672,no counterexample
thermo,polynomial,f1,new,18,21471,0.046155205,0.709285257,no counterexample
thermo,polynomial,f1,new,20,23787,0.016851949,0.78733943,no counterexample
thermo,polynomial,f2,new,2,3739,0.003011699,0.210615851,no counterexample
thermo,polynomial,f2,new,4,6551,0.003866331,0.439307136,no counterexample
thermo,polynomial,f2,new,6,9363,0.005359159,0.784514915,no counterexample
thermo,polynomial,f2,new,8,12175,0.00686194,1.423266876,no counterexample
thermo,polynomial,f2,new,10,14987,0.009132867,1.921972277,no counterexample
thermo,polynomial,f2,new,12,17799,0.009952518,9.958694615,no counterexample
thermo,polynomial,f3,new,2,3182,0.00513621,0.137954165,counterexample found
thermo,polynomial,f3,new,4,6908,0.010848519,0.389968527,counterexample found
thermo,polynomial,f3,new,6,11674,0.019015881,37.54679798,counterexample found
thermo,polynomial,f4,new,2,3065,0.004951889,0.164078286,counterexample found
thermo,polynomial,f4,new,4,6651,0.010795642,0.53448673,counterexample found
thermo,polynomial,f4,new,6,11253,0.019568805,4.825909737,counterexample found
battery,polynomial,f1,new,2,4383,0.00452988,0.094142224,no counterexample
battery,polynomial,f1,new,4,8055,0.006300835,0.159759806,no counterexample
battery,polynomial,f1,new,6,11727,0.008497288,0.224789464,no counterexample
battery,polynomial,f1,new,8,15399,0.01098415,0.290289809,no counterexample
battery,polynomial,f1,new,10,19071,0.012817272,0.355561859,no counterexample
battery,polynomial,f1,new,12,22743,0.015076049,0.423092271,no counterexample
battery,polynomial,f1,new,14,26415,0.017506191,0.488526033,no counterexample
battery,polynomial,f1,new,16,30087,0.020920923,0.563036355,no counterexample
battery,polynomial,f1,new,18,33759,0.022657056,0.616631201,no counterexample
battery,polynomial,f1,new,20,37431,0.02426259,0.684747227,no counterexample
battery,polynomial,f2,new,2,4348,0.008420479,0.06178575,no counterexample
battery,polynomial,f2,new,4,8006,0.006417323,0.109790274,no counterexample
battery,polynomial,f2,new,6,11664,0.009366897,0.148492427,no counterexample
battery,polynomial,f2,new,8,15322,0.01270987,0.192239543,no counterexample
battery,polynomial,f2,new,10,18980,0.014972986,0.235286404,no counterexample
battery,polynomial,f2,new,12,22638,0.017671778,0.279678235,no counterexample
battery,polynomial,f2,new,14,26296,0.020262759,0.328881074,no counterexample
battery,polynomial,f2,new,16,29954,0.023502714,0.366025794,no counterexample
battery,polynomial,f2,new,18,33612,0.027299215,0.423881064,no counterexample
battery,polynomial,f2,new,20,37270,0.081730667,0.452703869,no counterexample
battery,polynomial,f3,new,2,5441,0.006396324,0.117561927,counterexample found
battery,polynomial,f3,new,4,10975,0.011861931,0.232481625,counterexample found
battery,polynomial,f3,new,6,17493,0.065120202,0.641439763,counterexample found
battery,polynomial,f3,new,8,24995,0.032984375,1.564710553,counterexample found
battery,polynomial,f3,new,10,33481,0.104045185,2.467117057,counterexample found
battery,polynomial,f3,new,12,42951,0.067663071,6.988683788,counterexample found
battery,polynomial,f3,new,14,53405,0.166678937,18.57998248,counterexample found
battery,polynomial,f3,new,16,64843,0.201800331,24.81574296,counterexample found
battery,polynomial,f3,new,18,77265,0.258275738,56.64123689,counterexample found
battery,polynomial,f3,new,20,90671,0.300078988,239.7019361,counterexample found
battery,polynomial,f4,new,2,4474,0.006265603,0.054943272,no counterexample
battery,polynomial,f4,new,4,8858,0.00943261,0.098718876,no counterexample
battery,polynomial,f4,new,6,13778,0.068165546,0.19186866,no counterexample
battery,polynomial,f4,new,8,19234,0.023118566,0.44945107,no counterexample
battery,polynomial,f4,new,10,25226,0.032971665,0.351623395,no counterexample
battery,polynomial,f4,new,12,31754,0.041652904,0.491968838,no counterexample
battery,polynomial,f4,new,14,38818,0.111026838,14.42202716,no counterexample
battery,polynomial,f4,new,16,46418,0.133789274,1.002903042,no counterexample
battery,polynomial,f4,new,18,54554,0.156593746,1.499702172,no counterexample
battery,polynomial,f4,new,20,63226,0.175480844,2.178110282,no counterexample
railroad,polynomial,f1,old,2,3035,0.004862462,0.139737726,counterexample found
railroad,polynomial,f1,old,4,6595,0.00907045,0.140569333,counterexample found
railroad,polynomial,f1,old,6,11123,0.013584059,0.77953127,counterexample found
railroad,polynomial,f1,old,8,16619,0.047993036,1.145896482,counterexample found
railroad,polynomial,f1,old,10,23083,0.033390441,15.21950289,counterexample found
railroad,polynomial,f1,old,12,30515,0.063844007,4.010968299,counterexample found
railroad,polynomial,f1,old,14,48283,0.219663799,4339.232636,counterexample found
railroad,polynomial,f2,old,2,2720,0.003980111,0.053748685,no counterexample
railroad,polynomial,f2,old,4,5600,0.023679135,0.324484577,no counterexample
railroad,polynomial,f2,old,6,9080,0.058966638,0.960628043,no counterexample
railroad,polynomial,f2,old,8,13160,0.014996647,2635.200148,no counterexample
railroad,polynomial,f2,old,10,17840,0.052317462,8.450945688,no counterexample
railroad,polynomial,f2,old,12,23120,0.04217324,35.77195064,no counterexample
railroad,polynomial,f2,old,14,35480,0.037328911,3128.273812,no counterexample
railroad,polynomial,f3,old,2,12039,0.012036113,0.789523304,counterexample found
railroad,polynomial,f3,old,4,28033,0.056142534,2.411488318,counterexample found
railroad,polynomial,f3,old,6,50411,0.039581918,15.13357194,counterexample found
railroad,polynomial,f3,old,8,79173,0.079581918,87.02506324,counterexample found
railroad,polynomial,f4,old,2,12160,0.031928635,1.363821654,no counterexample
railroad,polynomial,f4,old,4,28348,0.037026391,12.13542201,no counterexample
railroad,polynomial,f4,old,6,50896,0.503398848,83.51473831,no counterexample
railroad,polynomial,f4,old,8,79804,0.171009708,192.9869418,no counterexample
railroad,polynomial,f4,old,10,115072,0.608127419,795.5962932,no counterexample
railroad,polynomial,f4,old,12,156700,1.284376663,3666.940775,no counterexample
car,polynomial,f1,old,2,2759,0.003779382,0.093358303,no counterexample
car,polynomial,f1,old,4,5583,0.006882017,0.176179171,no counterexample
car,polynomial,f1,old,6,9007,0.010183248,0.601650869,no counterexample
car,polynomial,f1,old,8,13031,0.038452365,1.052180714,no counterexample
car,polynomial,f1,old,10,17655,0.018233563,0.664494874,no counterexample
car,polynomial,f1,old,12,22879,0.039582676,1.160766365,no counterexample
car,polynomial,f1,old,14,28703,0.02917976,1.301386055,no counterexample
car,polynomial,f1,old,16,35127,0.108254271,1.834984889,no counterexample
car,polynomial,f1,old,18,42151,0.042357974,2.29215011,no counterexample
car,polynomial,f1,old,20,49775,0.297818948,3.160516467,no counterexample
car,polynomial,f2,old,2,2764,0.003761104,0.08929352,no counterexample
car,polynomial,f2,old,4,5584,0.006812924,0.167725212,no counterexample
car,polynomial,f2,old,6,9004,0.010092333,0.276755907,no counterexample
car,polynomial,f2,old,8,13024,0.030471615,0.867797676,no counterexample
car,polynomial,f2,old,10,17644,0.034464322,1.295685907,no counterexample
car,polynomial,f2,old,12,22864,0.039978763,1.536970872,no counterexample
car,polynomial,f2,old,14,28684,0.061722097,1.620090997,no counterexample
car,polynomial,f2,old,16,35104,0.035655091,1.682774661,no counterexample
car,polynomial,f2,old,18,42124,0.042428678,2.224171876,no counterexample
car,polynomial,f2,old,20,49744,0.123006412,2.824311678,no counterexample
car,polynomial,f3,old,2,7719,0.012159488,0.266169623,no counterexample
car,polynomial,f3,old,4,16781,0.024534225,1.013649612,no counterexample
car,polynomial,f3,old,6,29099,0.083460058,8.328485694,no counterexample
car,polynomial,f3,old,8,44673,0.355380468,18.66537475,no counterexample
car,polynomial,f3,old,10,63503,0.376009957,23.56547675,no counterexample
car,polynomial,f3,old,12,85589,0.273170077,24.88375494,no counterexample
car,polynomial,f3,old,14,110931,0.622570842,41.8025167,no counterexample
car,polynomial,f3,old,16,139529,0.907382356,53.53530187,no counterexample
car,polynomial,f3,old,18,171383,1.006299773,62.52897832,no counterexample
car,polynomial,f3,old,20,206493,1.364823576,76.88858438,no counterexample
car,polynomial,f4,old,2,2759,0.003779382,0.093358303,no counterexample
car,polynomial,f4,old,4,5583,0.006882017,0.176179171,no counterexample
car,polynomial,f4,old,6,9007,0.010183248,0.601650869,no counterexample
car,polynomial,f4,old,8,13031,0.038452365,1.052180714,no counterexample
car,polynomial,f4,old,10,17655,0.018233563,0.664494874,no counterexample
car,polynomial,f4,old,12,22879,0.039582676,1.160766365,no counterexample
car,polynomial,f4,old,14,28703,0.02917976,1.301386055,no counterexample
car,polynomial,f4,old,16,35127,0.108254271,1.834984889,no counterexample
car,polynomial,f4,old,18,42151,0.042357974,2.29215011,no counterexample
car,polynomial,f4,old,20,49775,0.297818948,3.160516467,no counterexample
water,polynomial,f1,old,2,4477,0.004580535,0.627768045,counterexample found
water,polynomial,f1,old,4,8717,0.008199844,1.235056072,counterexample found
water,polynomial,f1,old,6,13741,0.012394476,2.155971478,counterexample found
water,polynomial,f2,old,2,4305,0.004018991,0.540465498,no counterexample
water,polynomial,f2,old,4,8179,0.007235183,0.767908054,no counterexample
water,polynomial,f2,old,6,12653,0.034689232,10833.75202,no counterexample
water,polynomial,f3,old,2,9462,0.083687447,1.293393489,counterexample found
water,polynomial,f3,old,4,19714,0.024523309,16.47514449,counterexample found
water,polynomial,f3,old,6,33206,0.089038375,4163.493564,counterexample found
water,polynomial,f4,old,2,11289,0.014598402,0.513217222,no counterexample
water,polynomial,f4,old,4,24211,0.02996548,2.156814467,no counterexample
water,polynomial,f4,old,6,41501,0.099335644,22.3831231,no counterexample
water,polynomial,f4,old,8,63159,0.41888638,199.36331,no counterexample
thermo,polynomial,f1,old,2,3633,0.003909514,0.258255336,no counterexample
thermo,polynomial,f1,old,4,7179,0.007097993,1.195741386,no counterexample
thermo,polynomial,f1,old,6,11325,0.01102037,760.0463364,no counterexample
thermo,polynomial,f2,old,2,3717,0.004433845,0.255708197,no counterexample
thermo,polynomial,f2,old,4,7049,0.022787581,0.78706647,no counterexample
thermo,polynomial,f2,old,6,13141,0.03467536,13.01993904,no counterexample
thermo,polynomial,f3,old,2,10174,0.015262444,0.665819143,counterexample found
thermo,polynomial,f3,old,4,22426,0.031106931,9.631788293,counterexample found
thermo,polynomial,f4,old,2,10253,0.014744204,0.63168544,counterexample found
thermo,polynomial,f4,old,4,22619,0.062777757,18.2302377,counterexample found
battery,polynomial,f1,old,2,5073,0.022108342,0.257908616,no counterexample
battery,polynomial,f1,old,4,9975,0.009559376,0.238744154,no counterexample
battery,polynomial,f1,old,6,15477,0.030667949,0.661669282,no counterexample
battery,polynomial,f1,old,8,21579,0.019062332,0.650782518,no counterexample
battery,polynomial,f1,old,10,28281,0.05723219,1.282959581,no counterexample
battery,polynomial,f1,old,12,35583,0.063420662,1.676289683,no counterexample
battery,polynomial,f1,old,14,43485,0.086543781,2.860207801,no counterexample
battery,polynomial,f1,old,16,51987,0.126683174,18.08700086,no counterexample
battery,polynomial,f1,old,18,61089,0.177411716,14.89375059,no counterexample
battery,polynomial,f1,old,20,70791,0.135344939,25.25472234,no counterexample
battery,polynomial,f2,old,2,5236,0.006637768,0.089462564,no counterexample
battery,polynomial,f2,old,4,10484,0.010821383,0.179509142,no counterexample
battery,polynomial,f2,old,6,16516,0.016342257,0.317226782,no counterexample
battery,polynomial,f2,old,8,23332,0.026902451,0.568985781,no counterexample
battery,polynomial,f2,old,10,30932,0.028863221,0.849712992,no counterexample
battery,polynomial,f2,old,12,39316,0.083965476,1.769162477,no counterexample
battery,polynomial,f2,old,14,48484,0.119799612,2.424896956,no counterexample
battery,polynomial,f2,old,18,69172,0.136943087,42.58590151,no counterexample
battery,polynomial,f2,old,20,80692,0.183475562,842.0031442,no counterexample
battery,polynomial,f3,old,2,12603,0.065990209,1.005867066,counterexample found
battery,polynomial,f3,old,4,26855,0.03411265,4.492862125,counterexample found
battery,polynomial,f3,old,6,45427,0.263073126,12.32889324,counterexample found
battery,polynomial,f3,old,8,68319,0.319433732,97.63068173,counterexample found
battery,polynomial,f3,old,10,95531,0.530609541,658.0987227,counterexample found
battery,polynomial,f3,old,12,127063,0.672358519,1724.600017,counterexample found
battery,polynomial,f3,old,14,162915,0.74908483,1736.941289,counterexample found
battery,polynomial,f3,old,16,203087,1.333592698,5665.110492,counterexample found
battery,polynomial,f3,old,18,247579,1.137851082,6309.481874,counterexample found
battery,polynomial,f4,old,2,13833,0.018255365,2.078553365,no counterexample
battery,polynomial,f4,old,4,31587,0.037898582,21.25127365,no counterexample
battery,polynomial,f4,old,6,55701,0.264798248,707.3429729,no counterexample
battery,polynomial,f4,old,8,86175,0.513213829,887.2358872,no counterexample
battery,polynomial,f4,old,10,123009,0.590842397,10686.93327,no counterexample
battery,polynomial,f4,old,12,166203,0.90584176,4985.73184,no counterexample
